0	8	8	6	6	4	8	6	4	2	8	4	8	10	8	2	2	4
10	0	4	8	10	4	10	4	6	8	4	4	10	8	6	8	6	6
10	4	0	6	2	6	8	10	6	8	10	4	10	10	10	6	10	6
4	4	8	0	8	10	6	6	6	4	4	10	6	8	8	6	10	2
10	8	10	10	0	10	6	6	4	4	6	6	6	2	6	4	10	4
8	4	6	10	4	0	10	8	4	6	10	10	6	6	2	4	10	4
4	8	10	6	6	6	4	6	4	6	6	4	6	2	8	8	2	8
6	4	10	6	10	10	0	0	4	10	6	8	8	10	6	4	4	4
4	4	10	10	8	4	2	4	0	10	8	10	6	6	6	2	8	10
4	4	2	4	10	8	2	10	6	0	8	8	8	8	6	6	10	6
10	2	8	4	6	8	10	10	8	6	0	10	10	2	10	2	4	8
6	10	4	6	6	8	10	8	8	8	6	0	10	2	4	2	8	4
6	4	6	4	6	4	4	10	6	2	2	8	0	10	4	10	4	8
6	10	6	8	8	8	10	10	6	2	6	10	10	0	4	2	4	6
10	6	8	2	8	10	10	4	2	6	6	10	4	10	0	2	8	6
4	2	4	10	2	8	6	10	4	4	2	8	8	4	8	0	4	4
4	4	10	4	2	8	8	10	8	10	4	8	4	6	6	6	0	4
8	6	10	8	10	4	6	6	4	8	10	2	8	4	10	6	10	0
